Time,Anomaly (deg C),Lower confidence limit (2.5%),Upper confidence limit (97.5%)
1850,-0.3566755,-0.62426203,-0.08908898
1851,-0.21446288,-0.46706137,0.038135625
1852,-0.20856662,-0.4564135,0.03928026
1853,-0.24400245,-0.48844332,0.0004384451
1854,-0.24700119,-0.47000632,-0.023996063
1855,-0.27121785,-0.47366458,-0.06877111
1856,-0.3298544,-0.5463082,-0.11340062
1857,-0.4345125,-0.6364063,-0.23261867
1858,-0.40127328,-0.6100687,-0.19247788
1859,-0.24836424,-0.4579195,-0.038808975
1860,-0.30586895,-0.5029714,-0.108766526
1861,-0.37449393,-0.56670713,-0.1822807
1862,-0.49359208,-0.68685156,-0.3003326
1863,-0.26320422,-0.44513994,-0.08126852
1864,-0.46090838,-0.6436475,-0.2781693
1865,-0.26274845,-0.44696537,-0.0785315
1866,-0.24471205,-0.43008453,-0.059339583
1867,-0.3157093,-0.49680707,-0.13461152
1868,-0.23317344,-0.4353104,-0.031036474
1869,-0.27360705,-0.4540949,-0.09311922
1870,-0.2697301,-0.43507868,-0.10438149
1871,-0.34516877,-0.51823056,-0.17210698
1872,-0.23069128,-0.39364344,-0.06773913
1873,-0.30517995,-0.46662167,-0.14373823
1874,-0.36235958,-0.5239746,-0.20074454
1875,-0.38563204,-0.5491168,-0.22214729
1876,-0.37728608,-0.54350305,-0.21106914
1877,-0.05550168,-0.21733963,0.10633627
1878,0.032410417,-0.13083681,0.19565766
1879,-0.23929013,-0.4055003,-0.07307995
1880,-0.23925884,-0.39765626,-0.08086142
1881,-0.19821571,-0.36169648,-0.034734935
1882,-0.21409525,-0.37213495,-0.056055527
1883,-0.29559472,-0.4515388,-0.13965063
1884,-0.40955985,-0.5707511,-0.24836864
1885,-0.393189,-0.5526619,-0.2337161
1886,-0.37736067,-0.5346394,-0.2200819
1887,-0.43995962,-0.5924684,-0.28745085
1888,-0.32329658,-0.47692308,-0.16967006
1889,-0.18926348,-0.34033328,-0.03819365
1890,-0.43147975,-0.5804897,-0.2824698
1891,-0.34464595,-0.50680953,-0.18248233
1892,-0.46778795,-0.6285903,-0.30698565
1893,-0.48973954,-0.6469898,-0.33248928
1894,-0.42869103,-0.5820418,-0.2753403
1895,-0.40982875,-0.5571071,-0.2625504
1896,-0.21371363,-0.36563176,-0.06179551
1897,-0.23253241,-0.38455743,-0.08050742
1898,-0.43681118,-0.5879168,-0.2857056
1899,-0.31808576,-0.4690399,-0.16713165
1900,-0.23422842,-0.3885314,-0.07992544
1901,-0.29300418,-0.44964623,-0.13636214
1902,-0.4391679,-0.59019727,-0.2881385
1903,-0.5289644,-0.67733514,-0.38059366
1904,-0.5784301,-0.73180425,-0.42505592
1905,-0.41009277,-0.556752,-0.26343352
1906,-0.31500882,-0.46148667,-0.16853096
